iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2046,PROJ_SSP585,39.9,16.8,0.7,-0.8,47.9,4.5,72.72727272727273,10.368663594470046,-53.333333333333336,SSP5-8.5 (very high emissions),,False
ARG,ARG,2047,PROJ_SSP126,36.9,13.9,1.0,-0.5,43.3,-0.1,60.434782608695656,-0.2304147465437788,-33.33333333333333,SSP1-2.6 (low emissions),,False
ARG,ARG,2047,PROJ_SSP245,38.7,15.7,0.8,-0.8,44.2,0.8,68.26086956521738,1.8433179723502304,-50.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2047,PROJ_SSP370,40.7,17.7,0.7,-0.8,47.5,4.1,76.95652173913042,9.44700460829493,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2047,PROJ_SSP585,43.8,20.7,0.8,-0.8,49.4,6.0,89.61038961038962,13.82488479262673,-50.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2048,PROJ_SSP126,36.4,13.3,0.9,-0.6,42.9,-0.5,57.57575757575758,-1.1520737327188941,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2048,PROJ_SSP245,37.9,14.8,0.9,-0.6,46.4,3.0,64.06926406926408,6.912442396313365,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2048,PROJ_SSP370,41.4,18.3,0.9,-0.6,48.1,4.8,79.22077922077924,11.085450346420323,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2048,PROJ_SSP585,40.2,17.2,0.8,-0.8,49.4,6.0,74.78260869565216,13.82488479262673,-50.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2049,PROJ_SSP126,36.9,13.9,1.0,-0.6,44.1,0.8,60.434782608695656,1.8475750577367205,-37.49999999999999,SSP1-2.6 (low emissions),,False
